site,trans,grid,x,y,outplant
CR,a,1,1,1,1
CR,a,2,1,2,1
CR,a,3,1,3,0
CR,a,4,1,4,0
CR,a,5,1,5,0
CR,a,6,1,6,0
CR,a,7,1,7,0
CR,a,8,1,8,1
CR,a,9,1,9,1
CR,a,10,1,10,1
CR,a,11,2,1,1
CR,a,12,2,2,1
CR,a,13,2,3,0
CR,a,14,2,4,1
CR,a,15,2,5,1
CR,a,16,2,6,0
CR,a,17,2,7,0
CR,a,18,2,8,1
CR,a,19,2,9,1
CR,a,20,2,10,1
CR,b,21,3,1,0
CR,b,22,3,2,0
CR,b,23,3,3,1
CR,b,24,3,4,1
CR,b,25,3,5,1
CR,b,26,3,6,1
CR,b,27,3,7,0
CR,b,28,3,8,0
CR,b,29,3,9,1
CR,b,30,3,10,0
CR,b,31,4,1,0
CR,b,32,4,2,0
CR,b,33,4,3,1
CR,b,34,4,4,1
CR,b,35,4,5,0
CR,b,36,4,6,0
CR,b,37,4,7,1
CR,b,38,4,8,0
CR,b,39,4,9,0
CR,b,40,4,10,0
CR,c,41,5,1,0
CR,c,42,5,2,1
CR,c,43,5,3,1
CR,c,44,5,4,0
CR,c,45,5,5,0
CR,c,46,5,6,1
CR,c,47,5,7,1
CR,c,48,5,8,1
CR,c,49,5,9,1
CR,c,50,5,10,0
CR,c,51,6,1,0
CR,c,52,6,2,1
CR,c,53,6,3,1
CR,c,54,6,4,1
CR,c,55,6,5,0
CR,c,56,6,6,0
CR,c,57,6,7,0
CR,c,58,6,8,1
CR,c,59,6,9,1
CR,c,60,6,10,1
CR,d,61,7,1,0
CR,d,62,7,2,1
CR,d,63,7,3,0
CR,d,64,7,4,0
CR,d,65,7,5,0
CR,d,66,7,6,0
CR,d,67,7,7,0
CR,d,68,7,8,0
CR,d,69,7,9,0
CR,d,70,7,10,0
CR,d,71,8,1,0
CR,d,72,8,2,1
CR,d,73,8,3,0
CR,d,74,8,4,0
CR,d,75,8,5,0
CR,d,76,8,6,0
CR,d,77,8,7,1
CR,d,78,8,8,1
CR,d,79,8,9,0
CR,d,80,8,10,0
CR,e,81,9,1,0
CR,e,82,9,2,1
CR,e,83,9,3,0
CR,e,84,9,4,0
CR,e,85,9,5,0
CR,e,86,9,6,0
CR,e,87,9,7,1
CR,e,88,9,8,1
CR,e,89,9,9,0
CR,e,90,9,10,0
CR,e,91,10,1,1
CR,e,92,10,2,1
CR,e,93,10,3,1
CR,e,94,10,4,1
CR,e,95,10,5,0
CR,e,96,10,6,1
CR,e,97,10,7,1
CR,e,98,10,8,1
CR,e,99,10,9,0
CR,e,100,10,10,0
CC,a,1,1,1,0
CC,a,2,1,2,0
CC,a,3,1,3,0
CC,a,4,1,4,0
CC,a,5,1,5,0
CC,a,6,1,6,0
CC,a,7,1,7,0
CC,a,8,1,8,0
CC,a,9,1,9,0
CC,a,10,1,10,0
CC,a,11,2,1,0
CC,a,12,2,2,0
CC,a,13,2,3,0
CC,a,14,2,4,0
CC,a,15,2,5,0
CC,a,16,2,6,0
CC,a,17,2,7,0
CC,a,18,2,8,0
CC,a,19,2,9,0
CC,a,20,2,10,0
CC,b,21,3,1,0
CC,b,22,3,2,0
CC,b,23,3,3,0
CC,b,24,3,4,0
CC,b,25,3,5,0
CC,b,26,3,6,0
CC,b,27,3,7,0
CC,b,28,3,8,0
CC,b,29,3,9,0
CC,b,30,3,10,0
CC,b,31,4,1,0
CC,b,32,4,2,0
CC,b,33,4,3,0
CC,b,34,4,4,0
CC,b,35,4,5,0
CC,b,36,4,6,0
CC,b,37,4,7,0
CC,b,38,4,8,0
CC,b,39,4,9,0
CC,b,40,4,10,0
CC,c,41,5,1,0
CC,c,42,5,2,0
CC,c,43,5,3,0
CC,c,44,5,4,0
CC,c,45,5,5,0
CC,c,46,5,6,0
CC,c,47,5,7,0
CC,c,48,5,8,0
CC,c,49,5,9,0
CC,c,50,5,10,0
CC,c,51,6,1,0
CC,c,52,6,2,0
CC,c,53,6,3,0
CC,c,54,6,4,0
CC,c,55,6,5,0
CC,c,56,6,6,0
CC,c,57,6,7,0
CC,c,58,6,8,0
CC,c,59,6,9,0
CC,c,60,6,10,0
CC,d,61,7,1,0
CC,d,62,7,2,0
CC,d,63,7,3,0
CC,d,64,7,4,0
CC,d,65,7,5,0
CC,d,66,7,6,0
CC,d,67,7,7,0
CC,d,68,7,8,0
CC,d,69,7,9,0
CC,d,70,7,10,0
CC,d,71,8,1,0
CC,d,72,8,2,0
CC,d,73,8,3,0
CC,d,74,8,4,0
CC,d,75,8,5,0
CC,d,76,8,6,0
CC,d,77,8,7,0
CC,d,78,8,8,0
CC,d,79,8,9,0
CC,d,80,8,10,0
CC,e,81,9,1,0
CC,e,82,9,2,0
CC,e,83,9,3,0
CC,e,84,9,4,0
CC,e,85,9,5,0
CC,e,86,9,6,0
CC,e,87,9,7,0
CC,e,88,9,8,0
CC,e,89,9,9,0
CC,e,90,9,10,0
CC,e,91,10,1,0
CC,e,92,10,2,0
CC,e,93,10,3,0
CC,e,94,10,4,0
CC,e,95,10,5,0
CC,e,96,10,6,0
CC,e,97,10,7,0
CC,e,98,10,8,0
CC,e,99,10,9,0
CC,e,100,10,10,0
GR,a,1,1,1,1
GR,a,2,1,2,0
GR,b,3,1,3,1
GR,b,4,1,4,1
GR,c,5,1,5,0
GR,c,6,1,6,0
GR,a,7,2,1,0
GR,a,8,2,2,1
GR,b,9,2,3,1
GR,b,10,2,4,1
GR,c,11,2,5,0
GR,c,12,2,6,0
GR,a,13,3,1,1
GR,a,14,3,2,0
GR,b,15,3,3,1
GR,b,16,3,4,1
GR,c,17,3,5,0
GR,c,18,3,6,0
GR,a,19,4,1,0
GR,a,20,4,2,0
GR,b,21,4,3,0
GR,b,22,4,4,0
GR,c,23,4,5,0
GR,c,24,4,6,0
GR,a,25,5,1,0
GR,a,26,5,2,0
GR,b,27,5,3,1
GR,b,28,5,4,1
GR,c,29,5,5,0
GR,c,30,5,6,0
GR,a,31,6,1,0
GR,a,32,6,2,0
GR,b,33,6,3,1
GR,b,34,6,4,1
GR,c,35,6,5,0
GR,c,36,6,6,0
GR,a,37,7,1,0
GR,a,38,7,2,1
GR,b,39,7,3,1
GR,b,40,7,4,0
GR,c,41,7,5,0
GR,c,42,7,6,0
GR,a,43,8,1,0
GR,a,44,8,2,0
GR,b,45,8,3,1
GR,b,46,8,4,0
GR,c,47,8,5,0
GR,c,48,8,6,0
GR,a,49,9,1,1
GR,a,50,9,2,1
GR,b,51,9,3,1
GR,b,52,9,4,0
GR,c,53,9,5,0
GR,c,54,9,6,0
GR,a,55,10,1,0
GR,a,56,10,2,0
GR,b,57,10,3,0
GR,b,58,10,4,0
GR,c,59,10,5,0
GR,c,60,10,6,0
GR,a,61,11,1,0
GR,a,62,11,2,0
GR,b,63,11,3,0
GR,b,64,11,4,0
GR,c,65,11,5,0
GR,c,66,11,6,0
GR,a,67,12,1,1
GR,a,68,12,2,1
GR,b,69,12,3,0
GR,b,70,12,4,0
GR,c,71,12,5,0
GR,c,72,12,6,0
GR,a,73,13,1,1
GR,a,74,13,2,0
GR,b,75,13,3,0
GR,b,76,13,4,0
GR,c,77,13,5,0
GR,c,78,13,6,0
GR,a,79,14,1,1
GR,a,80,14,2,0
GR,b,81,14,3,0
GR,b,82,14,4,0
GR,c,83,14,5,0
GR,c,84,14,6,0
GR,a,85,15,1,0
GR,a,86,15,2,0
GR,b,87,15,3,0
GR,b,88,15,4,0
GR,c,89,15,5,0
GR,c,90,15,6,0
GR,a,91,16,1,0
GR,a,92,16,2,0
GR,b,93,16,3,0
GR,b,94,16,4,0
GR,c,95,16,5,0
GR,c,96,16,6,0
GC,a,1,1,1,0
GC,a,2,1,2,0
GC,b,3,1,3,0
GC,b,4,1,4,0
GC,c,5,1,5,0
GC,c,6,1,6,0
GC,a,7,2,1,0
GC,a,8,2,2,0
GC,b,9,2,3,0
GC,b,10,2,4,0
GC,c,11,2,5,0
GC,c,12,2,6,0
GC,a,13,3,1,0
GC,a,14,3,2,0
GC,b,15,3,3,0
GC,b,16,3,4,0
GC,c,17,3,5,0
GC,c,18,3,6,0
GC,a,19,4,1,0
GC,a,20,4,2,0
GC,b,21,4,3,0
GC,b,22,4,4,0
GC,c,23,4,5,0
GC,c,24,4,6,0
GC,a,25,5,1,0
GC,a,26,5,2,0
GC,b,27,5,3,0
GC,b,28,5,4,0
GC,c,29,5,5,0
GC,c,30,5,6,0
GC,a,31,6,1,0
GC,a,32,6,2,0
GC,b,33,6,3,0
GC,b,34,6,4,0
GC,c,35,6,5,0
GC,c,36,6,6,0
GC,a,37,7,1,0
GC,a,38,7,2,0
GC,b,39,7,3,0
GC,b,40,7,4,0
GC,c,41,7,5,0
GC,c,42,7,6,0
GC,a,43,8,1,0
GC,a,44,8,2,0
GC,b,45,8,3,0
GC,b,46,8,4,0
GC,c,47,8,5,0
GC,c,48,8,6,0
GC,a,49,9,1,0
GC,a,50,9,2,0
GC,b,51,9,3,0
GC,b,52,9,4,0
GC,c,53,9,5,0
GC,c,54,9,6,0
GC,a,55,10,1,0
GC,a,56,10,2,0
GC,b,57,10,3,0
GC,b,58,10,4,0
GC,c,59,10,5,0
GC,c,60,10,6,0
GC,a,61,11,1,0
GC,a,62,11,2,0
GC,b,63,11,3,0
GC,b,64,11,4,0
GC,c,65,11,5,0
GC,c,66,11,6,0
GC,a,67,12,1,0
GC,a,68,12,2,0
GC,b,69,12,3,0
GC,b,70,12,4,0
GC,c,71,12,5,0
GC,c,72,12,6,0
GC,a,73,13,1,0
GC,a,74,13,2,0
GC,b,75,13,3,0
GC,b,76,13,4,0
GC,c,77,13,5,0
GC,c,78,13,6,0
GC,a,79,14,1,0
GC,a,80,14,2,0
GC,b,81,14,3,0
GC,b,82,14,4,0
GC,c,83,14,5,0
GC,c,84,14,6,0
GC,a,85,15,1,0
GC,a,86,15,2,0
GC,b,87,15,3,0
GC,b,88,15,4,0
GC,c,89,15,5,0
GC,c,90,15,6,0
GC,a,91,16,1,0
GC,a,92,16,2,0
GC,b,93,16,3,0
GC,b,94,16,4,0
GC,c,95,16,5,0
GC,c,96,16,6,0
NDR,a,1,1,1,0
NDR,a,2,1,2,0
NDR,b,3,1,3,1
NDR,b,4,1,4,1
NDR,c,5,1,5,1
NDR,c,6,1,6,0
NDR,a,7,2,1,0
NDR,a,8,2,2,0
NDR,b,9,2,3,0
NDR,b,10,2,4,1
NDR,c,11,2,5,1
NDR,c,12,2,6,1
NDR,a,13,3,1,0
NDR,a,14,3,2,0
NDR,b,15,3,3,1
NDR,b,16,3,4,1
NDR,c,17,3,5,1
NDR,c,18,3,6,1
NDR,a,19,4,1,0
NDR,a,20,4,2,0
NDR,b,21,4,3,1
NDR,b,22,4,4,1
NDR,c,23,4,5,1
NDR,c,24,4,6,1
NDR,a,25,5,1,0
NDR,a,26,5,2,0
NDR,b,27,5,3,1
NDR,b,28,5,4,1
NDR,c,29,5,5,1
NDR,c,30,5,6,1
NDR,a,31,6,1,0
NDR,a,32,6,2,1
NDR,b,33,6,3,1
NDR,b,34,6,4,1
NDR,c,35,6,5,1
NDR,c,36,6,6,1
NDR,a,37,7,1,1
NDR,a,38,7,2,1
NDR,b,39,7,3,1
NDR,b,40,7,4,0
NDR,c,41,7,5,1
NDR,c,42,7,6,1
NDR,a,43,8,1,1
NDR,a,44,8,2,1
NDR,b,45,8,3,1
NDR,b,46,8,4,0
NDR,c,47,8,5,0
NDR,c,48,8,6,0
NDR,a,49,9,1,0
NDR,a,50,9,2,0
NDR,b,51,9,3,0
NDR,b,52,9,4,0
NDR,c,53,9,5,0
NDR,c,54,9,6,0
NDR,a,55,10,1,0
NDR,a,56,10,2,0
NDR,b,57,10,3,0
NDR,b,58,10,4,0
NDR,c,59,10,5,0
NDR,c,60,10,6,0
NDR,a,61,11,1,0
NDR,a,62,11,2,0
NDR,b,63,11,3,0
NDR,b,64,11,4,0
NDR,c,65,11,5,0
NDR,c,66,11,6,0
NDR,a,67,12,1,0
NDR,a,68,12,2,0
NDR,b,69,12,3,0
NDR,b,70,12,4,0
NDR,c,71,12,5,0
NDR,c,72,12,6,0
NDR,a,73,13,1,0
NDR,a,74,13,2,0
NDR,b,75,13,3,0
NDR,b,76,13,4,0
NDR,c,77,13,5,0
NDR,c,78,13,6,0
NDR,a,79,14,1,0
NDR,a,80,14,2,0
NDR,b,81,14,3,0
NDR,b,82,14,4,0
NDR,c,83,14,5,0
NDR,c,84,14,6,0
NDR,a,85,15,1,0
NDR,a,86,15,2,0
NDR,b,87,15,3,0
NDR,b,88,15,4,0
NDR,c,89,15,5,0
NDR,c,90,15,6,0
NDR,a,91,16,1,1
NDR,a,92,16,2,0
NDR,b,93,16,3,0
NDR,b,94,16,4,0
NDR,c,95,16,5,0
NDR,c,96,16,6,0
NDRC,a,1,1,1,0
NDRC,a,2,1,2,0
NDRC,b,3,1,3,0
NDRC,b,4,1,4,0
NDRC,c,5,1,5,0
NDRC,c,6,1,6,0
NDRC,a,7,2,1,0
NDRC,a,8,2,2,0
NDRC,b,9,2,3,0
NDRC,b,10,2,4,0
NDRC,c,11,2,5,0
NDRC,c,12,2,6,0
NDRC,a,13,3,1,0
NDRC,a,14,3,2,0
NDRC,b,15,3,3,0
NDRC,b,16,3,4,0
NDRC,c,17,3,5,0
NDRC,c,18,3,6,0
NDRC,a,19,4,1,0
NDRC,a,20,4,2,0
NDRC,b,21,4,3,0
NDRC,b,22,4,4,0
NDRC,c,23,4,5,0
NDRC,c,24,4,6,0
NDRC,a,25,5,1,0
NDRC,a,26,5,2,0
NDRC,b,27,5,3,0
NDRC,b,28,5,4,0
NDRC,c,29,5,5,0
NDRC,c,30,5,6,0
NDRC,a,31,6,1,0
NDRC,a,32,6,2,0
NDRC,b,33,6,3,0
NDRC,b,34,6,4,0
NDRC,c,35,6,5,0
NDRC,c,36,6,6,0
NDRC,a,37,7,1,0
NDRC,a,38,7,2,0
NDRC,b,39,7,3,0
NDRC,b,40,7,4,0
NDRC,c,41,7,5,0
NDRC,c,42,7,6,0
NDRC,a,43,8,1,0
NDRC,a,44,8,2,0
NDRC,b,45,8,3,0
NDRC,b,46,8,4,0
NDRC,c,47,8,5,0
NDRC,c,48,8,6,0
NDRC,a,49,9,1,0
NDRC,a,50,9,2,0
NDRC,b,51,9,3,0
NDRC,b,52,9,4,0
NDRC,c,53,9,5,0
NDRC,c,54,9,6,0
NDRC,a,55,10,1,0
NDRC,a,56,10,2,0
NDRC,b,57,10,3,0
NDRC,b,58,10,4,0
NDRC,c,59,10,5,0
NDRC,c,60,10,6,0
NDRC,a,61,11,1,0
NDRC,a,62,11,2,0
NDRC,b,63,11,3,0
NDRC,b,64,11,4,0
NDRC,c,65,11,5,0
NDRC,c,66,11,6,0
NDRC,a,67,12,1,0
NDRC,a,68,12,2,0
NDRC,b,69,12,3,0
NDRC,b,70,12,4,0
NDRC,c,71,12,5,0
NDRC,c,72,12,6,0
NDRC,a,73,13,1,0
NDRC,a,74,13,2,0
NDRC,b,75,13,3,0
NDRC,b,76,13,4,0
NDRC,c,77,13,5,0
NDRC,c,78,13,6,0
NDRC,a,79,14,1,0
NDRC,a,80,14,2,0
NDRC,b,81,14,3,0
NDRC,b,82,14,4,0
NDRC,c,83,14,5,0
NDRC,c,84,14,6,0
NDRC,a,85,15,1,0
NDRC,a,86,15,2,0
NDRC,b,87,15,3,0
NDRC,b,88,15,4,0
NDRC,c,89,15,5,0
NDRC,c,90,15,6,0
NDRC,a,91,16,1,0
NDRC,a,92,16,2,0
NDRC,b,93,16,3,0
NDRC,b,94,16,4,0
NDRC,c,95,16,5,0
NDRC,c,96,16,6,0
PR,a,1,1,1,0
PR,a,2,1,2,0
PR,a,3,1,3,0
PR,a,4,1,4,0
PR,a,5,1,5,0
PR,a,6,1,6,0
PR,a,7,1,7,1
PR,a,8,1,8,1
PR,a,9,1,9,1
PR,a,10,1,10,1
PR,a,11,2,1,0
PR,a,12,2,2,1
PR,a,13,2,3,1
PR,a,14,2,4,0
PR,a,15,2,5,0
PR,a,16,2,6,0
PR,a,17,2,7,1
PR,a,18,2,8,1
PR,a,19,2,9,1
PR,a,20,2,10,1
PR,b,21,3,1,1
PR,b,22,3,2,0
PR,b,23,3,3,0
PR,b,24,3,4,1
PR,b,25,3,5,0
PR,b,26,3,6,0
PR,b,27,3,7,1
PR,b,28,3,8,1
PR,b,29,3,9,1
PR,b,30,3,10,1
PR,b,31,4,1,1
PR,b,32,4,2,0
PR,b,33,4,3,0
PR,b,34,4,4,1
PR,b,35,4,5,0
PR,b,36,4,6,0
PR,b,37,4,7,1
PR,b,38,4,8,1
PR,b,39,4,9,1
PR,b,40,4,10,1
PR,c,41,5,1,0
PR,c,42,5,2,0
PR,c,43,5,3,1
PR,c,44,5,4,1
PR,c,45,5,5,0
PR,c,46,5,6,1
PR,c,47,5,7,1
PR,c,48,5,8,0
PR,c,49,5,9,1
PR,c,50,5,10,1
PR,c,51,6,1,0
PR,c,52,6,2,0
PR,c,53,6,3,1
PR,c,54,6,4,1
PR,c,55,6,5,1
PR,c,56,6,6,1
PR,c,57,6,7,1
PR,c,58,6,8,1
PR,c,59,6,9,1
PR,c,60,6,10,1
PR,d,61,7,1,0
PR,d,62,7,2,0
PR,d,63,7,3,0
PR,d,64,7,4,1
PR,d,65,7,5,1
PR,d,66,7,6,0
PR,d,67,7,7,0
PR,d,68,7,8,0
PR,d,69,7,9,1
PR,d,70,7,10,1
PR,d,71,8,1,0
PR,d,72,8,2,0
PR,d,73,8,3,0
PR,d,74,8,4,1
PR,d,75,8,5,1
PR,d,76,8,6,1
PR,d,77,8,7,0
PR,d,78,8,8,0
PR,d,79,8,9,0
PR,d,80,8,10,1
PR,e,81,9,1,0
PR,e,82,9,2,1
PR,e,83,9,3,1
PR,e,84,9,4,1
PR,e,85,9,5,1
PR,e,86,9,6,1
PR,e,87,9,7,0
PR,e,88,9,8,0
PR,e,89,9,9,0
PR,e,90,9,10,1
PR,e,91,10,1,0
PR,e,92,10,2,0
PR,e,93,10,3,0
PR,e,94,10,4,1
PR,e,95,10,5,1
PR,e,96,10,6,0
PR,e,97,10,7,0
PR,e,98,10,8,0
PR,e,99,10,9,0
PR,e,100,10,10,1
PC,a,1,1,1,0
PC,a,2,1,2,0
PC,a,3,1,3,0
PC,a,4,1,4,0
PC,a,5,1,5,0
PC,a,6,1,6,0
PC,a,7,1,7,0
PC,a,8,1,8,0
PC,a,9,1,9,0
PC,a,10,1,10,0
PC,a,11,2,1,0
PC,a,12,2,2,0
PC,a,13,2,3,0
PC,a,14,2,4,0
PC,a,15,2,5,0
PC,a,16,2,6,0
PC,a,17,2,7,0
PC,a,18,2,8,0
PC,a,19,2,9,0
PC,a,20,2,10,0
PC,b,21,3,1,0
PC,b,22,3,2,0
PC,b,23,3,3,0
PC,b,24,3,4,0
PC,b,25,3,5,0
PC,b,26,3,6,0
PC,b,27,3,7,0
PC,b,28,3,8,0
PC,b,29,3,9,0
PC,b,30,3,10,0
PC,b,31,4,1,0
PC,b,32,4,2,0
PC,b,33,4,3,0
PC,b,34,4,4,0
PC,b,35,4,5,0
PC,b,36,4,6,0
PC,b,37,4,7,0
PC,b,38,4,8,0
PC,b,39,4,9,0
PC,b,40,4,10,0
PC,c,41,5,1,0
PC,c,42,5,2,0
PC,c,43,5,3,0
PC,c,44,5,4,0
PC,c,45,5,5,0
PC,c,46,5,6,0
PC,c,47,5,7,0
PC,c,48,5,8,0
PC,c,49,5,9,0
PC,c,50,5,10,0
PC,c,51,6,1,0
PC,c,52,6,2,0
PC,c,53,6,3,0
PC,c,54,6,4,0
PC,c,55,6,5,0
PC,c,56,6,6,0
PC,c,57,6,7,0
PC,c,58,6,8,0
PC,c,59,6,9,0
PC,c,60,6,10,0
PC,d,61,7,1,0
PC,d,62,7,2,0
PC,d,63,7,3,0
PC,d,64,7,4,0
PC,d,65,7,5,0
PC,d,66,7,6,0
PC,d,67,7,7,0
PC,d,68,7,8,0
PC,d,69,7,9,0
PC,d,70,7,10,0
PC,d,71,8,1,0
PC,d,72,8,2,0
PC,d,73,8,3,0
PC,d,74,8,4,0
PC,d,75,8,5,0
PC,d,76,8,6,0
PC,d,77,8,7,0
PC,d,78,8,8,0
PC,d,79,8,9,0
PC,d,80,8,10,0
PC,e,81,9,1,0
PC,e,82,9,2,0
PC,e,83,9,3,0
PC,e,84,9,4,0
PC,e,85,9,5,0
PC,e,86,9,6,0
PC,e,87,9,7,0
PC,e,88,9,8,0
PC,e,89,9,9,0
PC,e,90,9,10,0
PC,e,91,10,1,0
PC,e,92,10,2,0
PC,e,93,10,3,0
PC,e,94,10,4,0
PC,e,95,10,5,0
PC,e,96,10,6,0
PC,e,97,10,7,0
PC,e,98,10,8,0
PC,e,99,10,9,0
PC,e,100,10,10,0
